,name,handle,x,y,bestFitY,r2
174,Jim CHALMERS,JEChalmers,1526,35156,28293.248101475547,0.194752215670755
175,Ross HART,RossHartMP,1540,23878,28358.96406060181,0.194752215670755
176,Eric KERR,Eric__Kerr,1553,12202,28419.986022647627,0.194752215670755
177,Jake HALL-EVANS,hallevansjake,1584,40039,28565.499932141498,0.194752215670755
178,Michelle ROWLAND,MRowlandMP,1586,43901,28574.887926302392,0.194752215670755
179,Roger WOODWARD,1RogerWoodward,1625,495,28757.953812439842,0.194752215670755
180,Lisa CHESTERS,LMChesters,1673,44340,28983.265672301317,0.194752215670755
181,Matt KEOGH,mattkeogh,1676,36058,28997.34766354266,0.194752215670755
182,Joanne RYAN,JoanneRyanLalor,1687,48332,29048.98163142758,0.194752215670755
183,Sharon BIRD,SharonBirdMP,1699,46923,29105.30959639295,0.194752215670755
184,Kevin ANDREWS,kevinandrewsmp,1725,50863,29227.353520484583,0.194752215670755
185,Jo BRISKEY,JoBriskey,1728,29291,29241.435511725926,0.194752215670755
186,Anthony ALBANESE,AlboMP,1747,48728,29330.621456254426,0.194752215670755
187,Jason SCANES,LaborWide,1747,20418,29330.621456254426,0.194752215670755
188,Scott BUCHHOLZ,ScottBuchholzMP,1776,43522,29466.7473715874,0.194752215670755
189,Katie ALLEN,KatieAllenMP,1781,48091,29490.21735698964,0.194752215670755
190,Graham PERRETT,GrahamPerrettMP,1896,31864,30030.02702124109,0.194752215670755
191,Chris GAMBIAN,chrisgambian,1924,33341,30161.45893949362,0.194752215670755
192,Justine ELLIOT,JElliotMP,1966,31807,30358.606816872412,0.194752215670755
193,Terri BUTLER,terrimbutler,1986,30836,30452.486758481362,0.194752215670755
194,Julie COLLINS,JulieCollinsMP,2032,30911,30668.410624181943,0.194752215670755
195,Tim HOLLO,timhollo,2095,20144,30964.13244025013,0.194752215670755
196,Fiona PHILLIPS,fiboydphillips,2100,38972,30987.602425652367,0.194752215670755
197,Joel FITZGIBBON,fitzhunter,2103,38331,31001.68441689371,0.194752215670755
198,Jason FALINSKI,JasonFalinskiMP,2167,52088,31302.100230042342,0.194752215670755
199,Monica TAN,monicatanAU,2186,11157,31391.286174570843,0.194752215670755
200,Julie OWENS,JulieOwensMP,2247,38171,31677.619996478137,0.194752215670755
201,Catherine KING,CatherineKingMP,2259,49077,31733.947961443508,0.194752215670755
202,Linda BURNEY,LindaBurneyMP,2285,44227,31855.991885535143,0.194752215670755
203,Michael SUKKAR,MichaelSukkarMP,2309,46536,31968.647815465876,0.194752215670755
204,Barnaby JOYCE,Barnaby_Joyce,2404,53348,32414.577538108384,0.194752215670755
205,Mark BUTLER,Mark_Butler_MP,2410,46950,32442.741520591066,0.194752215670755
206,Craig KELLY,CraigKellyMP,2429,50763,32531.927465119566,0.194752215670755
207,Jason CLARE,JasonClareMP,2435,46689,32560.09144760225,0.194752215670755
208,Rachel PAYNE,rachelpayne,2561,2029,33151.53507973863,0.194752215670755
209,Dave SHARMA,DaveSharma,2674,42575,33681.95674982919,0.194752215670755
210,Bill SHORTEN,billshortenmp,2681,47487,33714.81472939232,0.194752215670755
211,Fiona McLEOD,FiMcLeodSC,2765,25498,34109.110484149904,0.194752215670755
212,Adrian David CHEOK,adriancheok,2787,868,34212.37841991975,0.194752215670755
213,Melissa PRICE,Melissa4Durack,2869,34429,34597.286180516436,0.194752215670755
214,Anika WELLS,AnikaWells,2907,34434,34775.65806957344,0.194752215670755
215,Clare O'NEIL,ClareONeilMP,2919,43310,34831.98603453881,0.194752215670755
216,Stuart ROBERT,stuartrobertmp,2923,47359,34850.762022860596,0.194752215670755
217,Bert VAN MANEN,BertVanManen,2938,39819,34921.17197906731,0.194752215670755
218,Shireen MORRIS,ShireenMorrisMs,2958,31648,35015.051920676255,0.194752215670755
219,Amanda RISHWORTH,AmandaRishworth,3012,53655,35268.527763020415,0.194752215670755
220,Steve GEORGANAS,stevegeorganas,3028,43163,35343.63171630757,0.194752215670755
221,Tanya PLIBERSEK,tanya_plibersek,3113,46850,35742.621468145604,0.194752215670755
222,Matt THISTLETHWAITE,MThistlethwaite,3271,42629,36484.273006856296,0.194752215670755
223,Tim WILSON,TimWilsonMP,3287,52320,36559.37696014346,0.194752215670755
224,Paul FLETCHER,PaulFletcherMP,3306,58007,36648.562904671955,0.194752215670755
225,Helen HAINES,helenhainesindi,3332,32664,36770.60682876359,0.194752215670755
226,Alan TUDGE,AlanTudgeMP,3419,54744,37178.984574762515,0.194752215670755
227,Libby COKER,LibbyCokerMP,3439,36047,37272.86451637147,0.194752215670755
228,Damian DRUM,damiandrummp,3452,48855,37333.886478417284,0.194752215670755
229,Alex HAWKE,AlexHawkeMP,3579,61202,37930.024107634104,0.194752215670755
230,Peta MURPHY,petajan,3585,37301,37958.18809011679,0.194752215670755
231,Andrew LEIGH,ALeighMP,3628,38864,38160.029964576024,0.194752215670755
232,John FLANAGAN,jjflanagan,3660,1213,38310.23787115034,0.194752215670755
233,Angus TAYLOR,AngusTaylorMP,3685,54589,38427.587798161534,0.194752215670755
234,Patrick GORMAN,PatrickGormanMP,3697,30207,38483.915763126904,0.194752215670755
235,Mina ZAKI,minazzaki,3882,24063,39352.30522300967,0.194752215670755
236,Sarah HENDERSON,SenSHenderson,3890,43017,39389.857199653256,0.194752215670755
237,Jason BALL,jasonballau,3894,22573,39408.63318797504,0.194752215670755
238,Madeleine KING,MadeleineMHKing,4100,35875,40375.59658654721,0.194752215670755
