,name,handle,x,y,bestFitY,r2
122,Signe WESTERBERG,SigneWesterberg,70403,5060,27153.48119051094,0.000247625162061
123,Des HARDMAN,Des_Hardman,71825,27008,27153.15413310362,0.000247625162061
124,Sharon BIRD,SharonBirdMP,72305,46923,27153.04373397879,0.000247625162061
125,Nick LARCOMBE,Larcombe_N,75574,2906,27152.291869939032,0.000247625162061
126,Barbara POCOCK,BarbaraPocock,77488,16853,27151.85165342876,0.000247625162061
127,Michelle LANDRY,mlandryMP,79254,36163,27151.445476648638,0.000247625162061
128,Craig KELLY,CraigKellyMP,81415,50763,27150.94845058871,0.000247625162061
129,Dominic Wy KANAK,GreensDom,82173,6759,27150.774111970743,0.000247625162061
130,Meryl SWANSON,MerylSwanson,87463,44288,27149.5574216158,0.000247625162061
131,Fiona PHILLIPS,fiboydphillips,87517,38972,27149.545001714258,0.000247625162061
132,Katie GOMPERTZ,GompertzKatie,89090,19821,27149.18321458225,0.000247625162061
133,Pat CONROY,PatConroy1,90229,41126,27148.921246658945,0.000247625162061
134,Greg HUNT,GregHuntMP,96375,45293,27147.507677864716,0.000247625162061
135,Ganesh Sahadev LOKE,GaryLoke4Prmtta,100620,2186,27146.531335604464,0.000247625162061
136,Barnaby JOYCE,Barnaby_Joyce,113172,53348,27143.644398490054,0.000247625162061
137,Brendan BUNYAN,brendanbunyan,114808,5619,27143.26812147291,0.000247625162061
138,Richard MARLES,RichardMarlesMP,115799,47010,27143.040193279765,0.000247625162061
139,Scott RICKARD,Rickard_Scott,118919,7579,27142.32259896834,0.000247625162061
140,Jo BRISKEY,JoBriskey,122328,29291,27141.538535183845,0.000247625162061
141,Brian OWLER,BrianOwler,123245,32769,27141.327626855775,0.000247625162061
142,Qiu Yue ZHANG,VikiZhang2019,126918,9116,27140.482843552618,0.000247625162061
143,Johnathan DAVIS,jdaviscbr,127193,12168,27140.419594054016,0.000247625162061
144,Grant SCHULTZ,GrantschultzNSW,132028,7585,27139.30755286949,0.000247625162061
145,Amanda RISHWORTH,AmandaRishworth,144142,53655,27136.52135495649,0.000247625162061
146,Andrew WILKIE,WilkieMP,147138,33761,27135.832280418985,0.000247625162061
147,Andrew LEIGH,ALeighMP,164435,38864,27131.854001955955,0.000247625162061
148,Georgina DOWNER,GeorginaDowner,168046,42426,27131.023478539755,0.000247625162061
149,Aaron HAMMOND,AaronHammondSP,173984,3240,27129.657749366288,0.000247625162061
150,Rob MITCHELL,RobMitchellMP,174917,37911,27129.443161067393,0.000247625162061
151,Jason SCANES,LaborWide,176872,20418,27128.99351463187,0.000247625162061
152,Tony ABBOTT,HonTonyAbbott,179730,35935,27128.336179842754,0.000247625162061
153,Nerilee BOSHAMMER,nezziebee82,186836,11645,27126.701812798856,0.000247625162061
154,Maurice BILLI,mauricebilli,191019,27150,27125.739730425565,0.000247625162061
155,Kate THWAITES,ThwaitesKate,192550,41086,27125.38760321698,0.000247625162061
156,Cameron PIDGEON,adampulford,218676,13847,27119.378670851533,0.000247625162061
157,Oliver YATES,_Oliver_Yates,220479,8890,27118.963984138874,0.000247625162061
158,Rebekha SHARKIE,MakeMayoMatter,223072,38525,27118.367598866593,0.000247625162061
159,Shireen MORRIS,ShireenMorrisMs,225659,31648,27117.772593583373,0.000247625162061
160,Sharon CLAYDON,SharonClaydon,246018,47137,27113.090060703173,0.000247625162061
161,Michelle ROWLAND,MRowlandMP,253298,43901,27111.415673976524,0.000247625162061
162,Joel FITZGIBBON,fitzhunter,261823,38331,27109.454939519837,0.000247625162061
163,Josh FRYDENBERG,JoshFrydenberg,285331,48928,27104.04814238109,0.000247625162061
164,Lisa CHESTERS,LMChesters,290703,44340,27102.812592175655,0.000247625162061
165,Steven ARMSTRONG,StevenArmstron7,294646,974,27101.90570936478,0.000247625162061
166,Gaye CAMERON,GayeCameronNSW,312437,3277,27097.81381180244,0.000247625162061
167,John FLANAGAN,jjflanagan,316899,1213,27096.787559937835,0.000247625162061
168,Scott MORRISON,ScottMorrisonMP,325758,59895,27094.75000609012,0.000247625162061
